"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Fst"	9.2546613467076e-107	0.375203783503082	0.607	0.31	2.064622399837e-102	"Anterior Primitive Streak"	"Fst"
"Ier2"	7.26103059038339e-106	0.292923058482502	0.936	0.78	1.61986331440863e-101	"Anterior Primitive Streak"	"Ier2"
"Cst3"	4.67857257189656e-91	0.253816389430447	0.976	0.899	1.0437427550644e-86	"Anterior Primitive Streak"	"Cst3"
"Prdx1"	1.71544634164757e-87	0.28494489220724	0.999	0.996	3.82698924358156e-83	"Anterior Primitive Streak"	"Prdx1"
"Manf1"	3.38162397597788e-82	0.273586565590334	0.991	0.979	7.54406492800905e-78	"Anterior Primitive Streak"	"Manf"
"Prps1"	1.00774566775652e-79	0.278311713193343	0.901	0.741	2.24817981019802e-75	"Anterior Primitive Streak"	"Prps1"
"Tead2"	2.96393409747177e-79	0.251912746922581	0.985	0.843	6.61224057804977e-75	"Anterior Primitive Streak"	"Tead2"
"H1f0"	1.05918228444211e-47	0.281489799313152	0.892	0.794	2.36292975836191e-43	"Anterior Primitive Streak"	"H1f0"
"Lmo2"	0	1.39063383928991	0.973	0.229	0	"Blood progenitors 1"	"Lmo2"
"Fgf3"	0	1.27734295497904	0.86	0.206	0	"Blood progenitors 1"	"Fgf3"
"Phlda11"	0	1.24356498783384	0.97	0.486	0	"Blood progenitors 1"	"Phlda1"
"Gadd45g1"	0	1.18472791650013	0.909	0.288	0	"Blood progenitors 1"	"Gadd45g"
"Fam212a"	0	1.15167583750648	0.965	0.231	0	"Blood progenitors 1"	"Fam212a"
"F2r"	0	0.979799098638154	0.907	0.298	0	"Blood progenitors 1"	"F2r"
"Rspo3"	0	0.970888835603753	0.882	0.265	0	"Blood progenitors 1"	"Rspo3"
"Hapln1"	0	0.954122392013663	0.76	0.133	0	"Blood progenitors 1"	"Hapln1"
"Gata2"	0	0.903266103850689	0.765	0.089	0	"Blood progenitors 1"	"Gata2"
"Ppic1"	0	0.888946316402911	0.974	0.511	0	"Blood progenitors 1"	"Ppic"
"Rnd2"	0	0.783452583257869	0.811	0.174	0	"Blood progenitors 1"	"Rnd2"
"Tal1"	0	0.719018271510576	0.773	0.097	0	"Blood progenitors 1"	"Tal1"
"Ramp2"	0	0.661162219106322	0.774	0.257	0	"Blood progenitors 1"	"Ramp2"
"Hhex1"	0	0.606556262297488	0.736	0.089	0	"Blood progenitors 1"	"Hhex"
"Prkar2b"	0	0.579666407698986	0.791	0.204	0	"Blood progenitors 1"	"Prkar2b"
"Vat1"	0	0.571920887578075	0.723	0.185	0	"Blood progenitors 1"	"Vat1"
"Nrip3"	0	0.536416154534448	0.588	0.046	0	"Blood progenitors 1"	"Nrip3"
"Fli1"	0	0.533339822164294	0.636	0.047	0	"Blood progenitors 1"	"Fli1"
"Runx1"	0	0.524459030196773	0.642	0.091	0	"Blood progenitors 1"	"Runx1"
"Gata1"	0	0.506035325214616	0.632	0.11	0	"Blood progenitors 1"	"Gata1"
"Rpp25"	0	0.474807818542701	0.609	0.149	0	"Blood progenitors 1"	"Rpp25"
"Lyl1"	0	0.423127335843328	0.507	0.051	0	"Blood progenitors 1"	"Lyl1"
"Dusp2"	0	0.413373541084672	0.487	0.054	0	"Blood progenitors 1"	"Dusp2"
"Gfi1b"	0	0.404230109141363	0.521	0.052	0	"Blood progenitors 1"	"Gfi1b"
"Kdr"	0	0.395671497915469	0.51	0.079	0	"Blood progenitors 1"	"Kdr"
"Gypc"	0	0.39396722986078	0.593	0.086	0	"Blood progenitors 1"	"Gypc"
"Ctla2a"	0	0.390521467545656	0.263	0.017	0	"Blood progenitors 1"	"Ctla2a"
"Skap1"	0	0.387896308816563	0.462	0.032	0	"Blood progenitors 1"	"Skap1"
"Flt1"	0	0.379130291374686	0.459	0.073	0	"Blood progenitors 1"	"Flt1"
"Esam"	0	0.355511073647912	0.379	0.033	0	"Blood progenitors 1"	"Esam"
"Myzap"	0	0.347743374214643	0.431	0.034	0	"Blood progenitors 1"	"Myzap"
"Rhoj"	0	0.343481693755999	0.454	0.036	0	"Blood progenitors 1"	"Rhoj"
"Spi1"	0	0.340885963971794	0.317	0.011	0	"Blood progenitors 1"	"Spi1"
"Slc32a1"	0	0.326913702912935	0.38	0.019	0	"Blood progenitors 1"	"Slc32a1"
"Nrg1"	0	0.299107501302126	0.415	0.05	0	"Blood progenitors 1"	"Nrg1"
"Cdh5"	0	0.291788231190071	0.34	0.018	0	"Blood progenitors 1"	"Cdh5"
"Igf1"	0	0.261901428225399	0.282	0.016	0	"Blood progenitors 1"	"Igf1"
"Arhgdib"	6.41835469107852e-305	0.390311714231541	0.35	0.05	1.43187074803271e-300	"Blood progenitors 1"	"Arhgdib"
"Rasip1"	8.4289249624827e-291	0.312534135599947	0.403	0.069	1.88040886988026e-286	"Blood progenitors 1"	"Rasip1"
"Cbfa2t3"	2.98206828517139e-286	0.283048872766533	0.407	0.071	6.65269613738885e-282	"Blood progenitors 1"	"Cbfa2t3"
"Aplnr"	6.15531913815194e-283	0.415626134992604	0.604	0.147	1.37319014653032e-278	"Blood progenitors 1"	"Aplnr"
"Sla2"	1.80813834354544e-275	0.28157482179392	0.289	0.038	4.03377583061553e-271	"Blood progenitors 1"	"Sla2"
"Kalrn"	2.40719330655424e-274	0.254266710039805	0.4	0.07	5.37020754759186e-270	"Blood progenitors 1"	"Kalrn"
"Cited4"	5.13798764411807e-268	0.495787005143694	0.599	0.138	1.1462336635263e-263	"Blood progenitors 1"	"Cited4"
"Crip21"	2.37399580884307e-263	0.859348607509045	0.954	0.638	5.29614724994801e-259	"Blood progenitors 1"	"Crip2"
"Igfbp41"	7.34154373213279e-261	0.805383228196438	0.929	0.514	1.6378249912015e-256	"Blood progenitors 1"	"Igfbp4"
"Vim1"	1.16517662892954e-259	0.738001909013994	0.919	0.435	2.59939254147892e-255	"Blood progenitors 1"	"Vim"
"Npl"	8.94838981544153e-258	0.351849134881813	0.787	0.244	1.99629628392685e-253	"Blood progenitors 1"	"Npl"
"Tspan32"	1.684617157837e-257	0.267932106236381	0.368	0.061	3.75821241741855e-253	"Blood progenitors 1"	"Tspan32"
"Tpst2"	1.9244688118282e-251	0.666359145779327	0.866	0.444	4.29329747230753e-247	"Blood progenitors 1"	"Tpst2"
"Egfl7"	1.07630114012477e-241	0.76959458878979	0.945	0.638	2.40112021350436e-237	"Blood progenitors 1"	"Egfl7"
"Rap1b"	3.24171551290233e-241	0.634987193859106	0.993	0.899	7.23194313773381e-237	"Blood progenitors 1"	"Rap1b"
"Ptp4a3"	2.91875552082502e-231	0.633949685907189	0.698	0.259	6.51145169140854e-227	"Blood progenitors 1"	"Ptp4a3"
"Ppp1r15a"	6.24956718771704e-227	0.521705021563625	0.738	0.287	1.39421594390779e-222	"Blood progenitors 1"	"Ppp1r15a"
"Sh3bgrl31"	5.07626351369122e-226	0.621613611418657	0.992	0.912	1.13246362726938e-221	"Blood progenitors 1"	"Sh3bgrl3"
"Gpsm3"	1.38429000174349e-221	0.412543743658853	0.636	0.21	3.08821256488954e-217	"Blood progenitors 1"	"Gpsm3"
"Rasgrp2"	3.26981970592454e-220	0.67751483425472	0.891	0.453	7.29464078194705e-216	"Blood progenitors 1"	"Rasgrp2"
"Cited2"	6.27240294027084e-217	0.953993921122519	0.961	0.804	1.39931037194502e-212	"Blood progenitors 1"	"Cited2"
"Bmp2"	1.83766008059531e-207	0.288010974220292	0.405	0.088	4.09963587380009e-203	"Blood progenitors 1"	"Bmp2"
"Tspan12"	3.47883231834035e-206	0.387741083097315	0.57	0.172	7.7609270189855e-202	"Blood progenitors 1"	"Tspan12"
"Tgfb11"	1.81102418529691e-205	0.421913927413736	0.486	0.128	4.04021385497888e-201	"Blood progenitors 1"	"Tgfb1"
"Gngt2"	1.37308361619874e-204	0.307734440711716	0.403	0.089	3.06321223937777e-200	"Blood progenitors 1"	"Gngt2"
"Tmem38b"	6.23758335281168e-202	0.409965004557497	0.557	0.173	1.39154247017876e-197	"Blood progenitors 1"	"Tmem38b"
"Prdx3"	3.12430086704075e-197	0.596283674476724	0.957	0.746	6.97000280428121e-193	"Blood progenitors 1"	"Prdx3"
"Srm"	5.80030375479899e-197	0.47772861311939	0.999	0.982	1.29398976465811e-192	"Blood progenitors 1"	"Srm"
"Gyg"	3.87810384726997e-189	0.590984494060243	0.834	0.468	8.65166187287458e-185	"Blood progenitors 1"	"Gyg"
"Cd34"	4.49326378444662e-184	0.32161697207056	0.228	0.034	1.0024022176722e-179	"Blood progenitors 1"	"Cd34"
"Itm2a1"	3.79142874728144e-181	0.515635478349958	0.761	0.353	8.45829839231016e-177	"Blood progenitors 1"	"Itm2a"
"Hdgf"	1.84498417435092e-179	0.429296816312828	0.999	0.992	4.11597519455946e-175	"Blood progenitors 1"	"Hdgf"
"Ddah2"	2.83426940694837e-174	0.554092029335735	0.923	0.667	6.32297161996111e-170	"Blood progenitors 1"	"Ddah2"
"Slc39a8"	2.22677259550393e-173	0.412570909879827	0.707	0.262	4.96770698330972e-169	"Blood progenitors 1"	"Slc39a8"
"Clic11"	2.29137770607727e-170	0.587333015117841	0.981	0.837	5.11183452448777e-166	"Blood progenitors 1"	"Clic1"
"Ecscr"	2.88290561762155e-169	0.284362462485899	0.405	0.102	6.43147414235193e-165	"Blood progenitors 1"	"Ecscr"
"Smtnl21"	5.89266533477474e-168	0.450587795278103	0.71	0.301	1.3145947095349e-163	"Blood progenitors 1"	"Smtnl2"
"Ubash3b"	1.40379497510712e-167	0.307361553886387	0.439	0.122	3.13172620996647e-163	"Blood progenitors 1"	"Ubash3b"
"Creg1"	1.08635569697164e-164	0.466126974670414	0.736	0.336	2.42355092437402e-160	"Blood progenitors 1"	"Creg1"
"Ccnd3"	1.58253746508255e-163	0.585776847544557	0.96	0.814	3.53048283085266e-159	"Blood progenitors 1"	"Ccnd3"
"Slc25a5"	1.31114084499102e-157	0.334236829745341	1	1	2.92502411109048e-153	"Blood progenitors 1"	"Slc25a5"
"Serpinh11"	3.38277326046608e-147	0.450648537215927	0.992	0.865	7.54662886677377e-143	"Blood progenitors 1"	"Serpinh1"
"Ptpn18"	4.91988597265813e-147	0.255038547550796	0.387	0.105	1.0975773616403e-142	"Blood progenitors 1"	"Ptpn18"
"Fn11"	5.33751507741719e-146	0.511799911047087	0.83	0.444	1.190746238621e-141	"Blood progenitors 1"	"Fn1"
"Cnn21"	1.11242376353007e-140	0.379513157638886	0.843	0.437	2.48170617405923e-136	"Blood progenitors 1"	"Cnn2"
"Rbm38"	1.12204967463611e-140	0.459033783675693	0.909	0.585	2.50318061914569e-136	"Blood progenitors 1"	"Rbm38"
"Ddah1"	3.59758072821556e-137	0.433190339545569	0.83	0.455	8.0258428465761e-133	"Blood progenitors 1"	"Ddah1"
"Hoxb2"	2.15887544843519e-135	0.482565681791342	0.682	0.294	4.81623523791407e-131	"Blood progenitors 1"	"Hoxb2"
"Tacc1"	8.5873450883103e-134	0.278443932018592	0.458	0.153	1.91575081575114e-129	"Blood progenitors 1"	"Tacc1"
"Tpm41"	6.67566494133102e-130	0.44702594316745	0.984	0.894	1.48927409176154e-125	"Blood progenitors 1"	"Tpm4"
"Car21"	2.93346535884233e-129	0.434294378005876	0.968	0.727	6.54426786904136e-125	"Blood progenitors 1"	"Car2"
"Cmtm3"	4.6437403175473e-129	0.294747887981805	0.501	0.18	1.03597202744163e-124	"Blood progenitors 1"	"Cmtm3"
"Rcn1"	3.21806074194796e-124	0.465932474705252	0.929	0.736	7.17917170921171e-120	"Blood progenitors 1"	"Rcn1"
"Cd81"	2.85297679586055e-123	0.516970461943786	0.977	0.906	6.3647059338853e-119	"Blood progenitors 1"	"Cd81"
"Nrtn"	5.26198760406933e-121	0.263249784567944	0.4	0.127	1.17389681459183e-116	"Blood progenitors 1"	"Nrtn"
"S100a101"	6.90018380532967e-114	0.38888771179645	0.957	0.713	1.53936200513099e-109	"Blood progenitors 1"	"S100a10"
"Fbxo6"	1.67687387955132e-111	0.257929715762469	0.506	0.196	3.74093793789104e-107	"Blood progenitors 1"	"Fbxo6"
"Cmas"	2.69288657689417e-111	0.431650565349551	0.871	0.669	6.0075606643932e-107	"Blood progenitors 1"	"Cmas"
"Ccnd2"	1.81640413401769e-107	0.469981213253623	0.945	0.631	4.05221598258006e-103	"Blood progenitors 1"	"Ccnd2"
"Tmem1581"	9.10427608773338e-106	0.335189778652806	0.591	0.272	2.03107295241244e-101	"Blood progenitors 1"	"Tmem158"
"Ets2"	4.15291240454897e-103	0.251072149287452	0.43	0.158	9.26473228330829e-99	"Blood progenitors 1"	"Ets2"
"Mrps26"	2.46930128584889e-101	0.380755046657426	0.928	0.81	5.50876423860029e-97	"Blood progenitors 1"	"Mrps26"
"Slc29a1"	4.99251401439791e-101	0.346886884119545	0.71	0.387	1.11377995147203e-96	"Blood progenitors 1"	"Slc29a1"
"Junb"	5.67207807510326e-100	0.386483711957998	0.621	0.314	1.26538389777479e-95	"Blood progenitors 1"	"Junb"
"Ninj1"	8.46984186083293e-98	0.307023733069076	0.729	0.395	1.88953702073322e-93	"Blood progenitors 1"	"Ninj1"
"Mest1"	4.75339619704714e-92	0.256061133527297	0.952	0.675	1.06043515759925e-87	"Blood progenitors 1"	"Mest"
"Pcgf51"	2.56416535956006e-90	0.295769017412449	0.694	0.363	5.72039650064253e-86	"Blood progenitors 1"	"Pcgf5"
"Hprt"	4.83207407987949e-89	0.365212331511056	0.984	0.905	1.07798740648032e-84	"Blood progenitors 1"	"Hprt"
"Nt5c3"	2.52307716221609e-87	0.330979586473281	0.728	0.457	5.62873284118788e-83	"Blood progenitors 1"	"Nt5c3"
"Chchd4"	2.77425701470606e-87	0.33825989133972	0.953	0.859	6.18908997410774e-83	"Blood progenitors 1"	"Chchd4"
"Vamp5"	1.72555120036083e-86	0.27350766162925	0.231	0.061	3.84953217288497e-82	"Blood progenitors 1"	"Vamp5"
"Slc9a3r2"	3.30815826271908e-86	0.267479346249977	0.311	0.103	7.38017026829999e-82	"Blood progenitors 1"	"Slc9a3r2"
"Msn"	2.37790175508247e-84	0.308282794182154	0.639	0.356	5.30486102541347e-80	"Blood progenitors 1"	"Msn"
"Odc1"	1.05177251068724e-83	0.344048006690215	0.991	0.956	2.34639929409216e-79	"Blood progenitors 1"	"Odc1"
"Jun1"	2.08113090345926e-80	0.404540006629058	0.631	0.352	4.64279493252726e-76	"Blood progenitors 1"	"Jun"
"Tmem9"	1.47592208049838e-79	0.34696551281818	0.844	0.672	3.29263456938385e-75	"Blood progenitors 1"	"Tmem9"
"Tspan4"	7.169264798736e-78	0.323430686447689	0.765	0.525	1.59939128395001e-73	"Blood progenitors 1"	"Tspan4"
"Kif5b"	1.66008720508007e-77	0.350335732992003	0.962	0.889	3.70348854581313e-73	"Blood progenitors 1"	"Kif5b"
"Ssbp4"	4.7758450640285e-74	0.252729962735108	0.481	0.23	1.06544327533412e-69	"Blood progenitors 1"	"Ssbp4"
"Ier21"	3.226547906058e-70	0.365817395362281	0.925	0.78	7.1981057236248e-66	"Blood progenitors 1"	"Ier2"
"Myc"	8.8815271736017e-70	0.290180108926956	0.6	0.337	1.9813798971588e-65	"Blood progenitors 1"	"Myc"
"Yrdc"	1.08705706040006e-66	0.314523155097716	0.944	0.836	2.42511559604649e-62	"Blood progenitors 1"	"Yrdc"
"Cdv3"	8.45638197664281e-65	0.294694545796342	0.958	0.878	1.88653425516924e-60	"Blood progenitors 1"	"Cdv3"
"Pim3"	7.59521974573415e-57	0.273890235099841	0.628	0.406	1.69441757307583e-52	"Blood progenitors 1"	"Pim3"
"Gatad1"	1.31535080695718e-56	0.289235280929207	0.803	0.624	2.93441611524077e-52	"Blood progenitors 1"	"Gatad1"
"Malat1"	3.65919891151285e-55	0.343055570120445	0.991	0.956	8.16330685169402e-51	"Blood progenitors 1"	"Malat1"
"Tubb61"	4.36960125322293e-55	0.326038140619891	0.803	0.592	9.74814343581503e-51	"Blood progenitors 1"	"Tubb6"
"Rab11a"	4.66965067270906e-53	0.266551138649899	0.925	0.84	1.04175236857466e-48	"Blood progenitors 1"	"Rab11a"
"Ppp1r14b"	3.08195256780368e-52	0.285029977731356	0.946	0.866	6.87552798351322e-48	"Blood progenitors 1"	"Ppp1r14b"
"Pycr21"	6.19945917882938e-52	0.264885267968068	0.903	0.758	1.38303734820505e-47	"Blood progenitors 1"	"Pycr2"
"Limd22"	1.67094394886444e-50	0.275213096626129	0.945	0.803	3.72770885552169e-46	"Blood progenitors 1"	"Limd2"
"Mns1"	8.11078078548248e-50	0.298539883946628	0.787	0.634	1.80943408543329e-45	"Blood progenitors 1"	"Mns1"
"Tagln2"	1.60575714971601e-39	0.260470475593227	0.899	0.778	3.58228362530145e-35	"Blood progenitors 1"	"Tagln2"
"Ipo11"	1.27114355445281e-33	0.269534488027091	0.462	0.3	2.83579415562877e-29	"Blood progenitors 1"	"Ipo11"
"Tmsb4x"	7.00092305448071e-09	0.398167856365217	0.918	0.849	0.00015618359242241	"Blood progenitors 1"	"Tmsb4x"
"Lmo21"	0	1.61741610664334	0.993	0.219	0	"Blood progenitors 2"	"Lmo2"
"Cited41"	0	1.60586832471888	0.988	0.125	0	"Blood progenitors 2"	"Cited4"
"Fgf31"	0	1.30825039028577	0.914	0.196	0	"Blood progenitors 2"	"Fgf3"
"Car22"	0	1.23913328421245	0.997	0.723	0	"Blood progenitors 2"	"Car2"
"Fam212a1"	0	1.12649036884832	0.959	0.221	0	"Blood progenitors 2"	"Fam212a"
"Gata11"	0	1.02124383214116	0.915	0.097	0	"Blood progenitors 2"	"Gata1"
"Cited21"	0	0.984527682941078	0.994	0.801	0	"Blood progenitors 2"	"Cited2"
"Snca"	0	0.906624819242265	0.868	0.107	0	"Blood progenitors 2"	"Snca"
"Phlda12"	0	0.861945098710852	0.937	0.48	0	"Blood progenitors 2"	"Phlda1"
"Ccnd21"	0	0.839777423500146	0.971	0.626	0	"Blood progenitors 2"	"Ccnd2"
"Prdx31"	0	0.794150568152497	0.982	0.743	0	"Blood progenitors 2"	"Prdx3"
"Rnd21"	0	0.793222543440248	0.806	0.166	0	"Blood progenitors 2"	"Rnd2"
"F2r1"	0	0.767331247767068	0.835	0.292	0	"Blood progenitors 2"	"F2r"
"Prkar2b1"	0	0.758480515331202	0.869	0.195	0	"Blood progenitors 2"	"Prkar2b"
"Rasgrp21"	0	0.752313447275957	0.932	0.446	0	"Blood progenitors 2"	"Rasgrp2"
"Rbm381"	0	0.741106319691303	0.969	0.579	0	"Blood progenitors 2"	"Rbm38"
"Klf1"	0	0.737486568043231	0.761	0.076	0	"Blood progenitors 2"	"Klf1"
"Tal11"	0	0.723523934629062	0.805	0.088	0	"Blood progenitors 2"	"Tal1"
"Rap1b1"	0	0.691612327362918	0.983	0.898	0	"Blood progenitors 2"	"Rap1b"
"Mns11"	0	0.688922292045303	0.909	0.63	0	"Blood progenitors 2"	"Mns1"
"Smim1"	0	0.674026433783047	0.808	0.227	0	"Blood progenitors 2"	"Smim1"
"Srm1"	0	0.668960407530135	0.999	0.982	0	"Blood progenitors 2"	"Srm"
"Slc39a81"	0	0.668592686153469	0.873	0.253	0	"Blood progenitors 2"	"Slc39a8"
"Sh3bgrl32"	0	0.657228784971812	0.995	0.91	0	"Blood progenitors 2"	"Sh3bgrl3"
"Hdgf1"	0	0.648491126001551	1	0.992	0	"Blood progenitors 2"	"Hdgf"
"Cmas1"	0	0.647969876091962	0.949	0.665	0	"Blood progenitors 2"	"Cmas"
"Ccnd31"	0	0.646892620006879	0.989	0.811	0	"Blood progenitors 2"	"Ccnd3"
"Glrx5"	0	0.634281478517461	0.999	0.981	0	"Blood progenitors 2"	"Glrx5"
"Tpst21"	0	0.626815053101142	0.853	0.439	0	"Blood progenitors 2"	"Tpst2"
"Ddah11"	0	0.625788212906868	0.918	0.448	0	"Blood progenitors 2"	"Ddah1"
"Rgs10"	0	0.587689101711556	0.678	0.254	0	"Blood progenitors 2"	"Rgs10"
"Psmb10"	0	0.584704565062733	0.866	0.598	0	"Blood progenitors 2"	"Psmb10"
"Tomm5"	0	0.579182298651769	0.998	0.978	0	"Blood progenitors 2"	"Tomm5"
"Nt5c31"	0	0.565165927115096	0.857	0.451	0	"Blood progenitors 2"	"Nt5c3"
"Cpox"	0	0.558519432285512	0.861	0.488	0	"Blood progenitors 2"	"Cpox"
"Gfi1b1"	0	0.549553535847733	0.632	0.043	0	"Blood progenitors 2"	"Gfi1b"
"Creg11"	0	0.539479840176669	0.818	0.329	0	"Blood progenitors 2"	"Creg1"
"Nrip31"	0	0.538909488414803	0.624	0.038	0	"Blood progenitors 2"	"Nrip3"
"Gadd45g2"	0	0.535464624259696	0.741	0.283	0	"Blood progenitors 2"	"Gadd45g"
"F10"	0	0.519164769640294	0.633	0.092	0	"Blood progenitors 2"	"F10"
"Nrtn1"	0	0.518530203103761	0.612	0.12	0	"Blood progenitors 2"	"Nrtn"
"Epor"	0	0.516599969197619	0.668	0.085	0	"Blood progenitors 2"	"Epor"
"Tspan321"	0	0.51284907379158	0.604	0.052	0	"Blood progenitors 2"	"Tspan32"
"Ptp4a31"	0	0.497857265732443	0.705	0.253	0	"Blood progenitors 2"	"Ptp4a3"
"Tmem14c"	0	0.491966060715809	0.988	0.917	0	"Blood progenitors 2"	"Tmem14c"
"Gata21"	0	0.486285391055346	0.511	0.085	0	"Blood progenitors 2"	"Gata2"
"Runx11"	0	0.482212918974839	0.605	0.085	0	"Blood progenitors 2"	"Runx1"
"Gypc1"	0	0.47427614820237	0.647	0.078	0	"Blood progenitors 2"	"Gypc"
"Fermt3"	0	0.474178565645746	0.547	0.046	0	"Blood progenitors 2"	"Fermt3"
"Rcn11"	0	0.470285369746643	0.934	0.734	0	"Blood progenitors 2"	"Rcn1"
"Mrps261"	0	0.462859866681597	0.959	0.808	0	"Blood progenitors 2"	"Mrps26"
"Ppp1r15a1"	0	0.456664430398644	0.711	0.281	0	"Blood progenitors 2"	"Ppp1r15a"
"Tgfb12"	0	0.450673718943237	0.572	0.122	0	"Blood progenitors 2"	"Tgfb1"
"Vat11"	0	0.444338663251427	0.638	0.179	0	"Blood progenitors 2"	"Vat1"
"Fam195a"	0	0.443739860191251	0.822	0.452	0	"Blood progenitors 2"	"Fam195a"
"Chchd41"	0	0.434161476823015	0.97	0.857	0	"Blood progenitors 2"	"Chchd4"
"Tacc11"	0	0.431981294772328	0.628	0.146	0	"Blood progenitors 2"	"Tacc1"
"Odc11"	0	0.430626006529033	0.993	0.956	0	"Blood progenitors 2"	"Odc1"
"Josd2"	0	0.419075550082113	0.788	0.454	0	"Blood progenitors 2"	"Josd2"
"Atp5g1"	0	0.418077175965631	1	0.999	0	"Blood progenitors 2"	"Atp5g1"
"Slc25a51"	0	0.409341167890611	1	1	0	"Blood progenitors 2"	"Slc25a5"
"Ube2l6"	0	0.396726969613662	0.584	0.127	0	"Blood progenitors 2"	"Ube2l6"
"Tspan33"	0	0.396444701507434	0.57	0.153	0	"Blood progenitors 2"	"Tspan33"
"Slc32a11"	0	0.388755918363887	0.422	0.013	0	"Blood progenitors 2"	"Slc32a1"
"Gyg1"	0	0.383906820416295	0.817	0.463	0	"Blood progenitors 2"	"Gyg"
"Cdv31"	0	0.382566045679157	0.968	0.877	0	"Blood progenitors 2"	"Cdv3"
"Ppic2"	0	0.378263871239048	0.857	0.507	0	"Blood progenitors 2"	"Ppic"
"Ppp1r14b1"	0	0.377760365457689	0.968	0.864	0	"Blood progenitors 2"	"Ppp1r14b"
"Sla21"	0	0.375240733482396	0.411	0.032	0	"Blood progenitors 2"	"Sla2"
"Ybx3"	0	0.374072498451708	0.856	0.644	0	"Blood progenitors 2"	"Ybx3"
"Itga2b"	0	0.373383565229325	0.469	0.033	0	"Blood progenitors 2"	"Itga2b"
"Prdx2"	0	0.372909219647938	1	0.997	0	"Blood progenitors 2"	"Prdx2"
"Ifitm3"	0	0.36670524603906	0.628	0.293	0	"Blood progenitors 2"	"Ifitm3"
"Slc38a5"	0	0.365990937200278	0.49	0.079	0	"Blood progenitors 2"	"Slc38a5"
"Pgp"	0	0.348148692944498	0.985	0.911	0	"Blood progenitors 2"	"Pgp"
"Fth1"	0	0.346406359747772	1	1	0	"Blood progenitors 2"	"Fth1"
"Zfpm1"	0	0.345702046169286	0.516	0.131	0	"Blood progenitors 2"	"Zfpm1"
"Blvrb"	0	0.338437277053876	0.649	0.297	0	"Blood progenitors 2"	"Blvrb"
"Hhex2"	0	0.337859394904344	0.486	0.085	0	"Blood progenitors 2"	"Hhex"
"Pdcd5"	0	0.336807581690931	0.994	0.971	0	"Blood progenitors 2"	"Pdcd5"
"Fam210b"	0	0.336759218855731	0.642	0.242	0	"Blood progenitors 2"	"Fam210b"
"Hn1"	0	0.336747811882194	0.997	0.962	0	"Blood progenitors 2"	"Hn1"
"Hapln11"	0	0.334376259447624	0.425	0.131	0	"Blood progenitors 2"	"Hapln1"
"Ubash3b1"	0	0.330521260066753	0.492	0.117	0	"Blood progenitors 2"	"Ubash3b"
"Ssx2ip"	0	0.32435539982257	0.545	0.146	0	"Blood progenitors 2"	"Ssx2ip"
"Abcb10"	0	0.317939155997036	0.522	0.142	0	"Blood progenitors 2"	"Abcb10"
"Baz1a"	0	0.31384182688428	0.707	0.38	0	"Blood progenitors 2"	"Baz1a"
"Dusp21"	0	0.310580923291487	0.411	0.05	0	"Blood progenitors 2"	"Dusp2"
"Tomm20"	0	0.308236915069243	1	1	0	"Blood progenitors 2"	"Tomm20"
"Cbfa2t31"	0	0.307226957491213	0.447	0.065	0	"Blood progenitors 2"	"Cbfa2t3"
"Hmbs"	0	0.298908408234141	0.929	0.779	0	"Blood progenitors 2"	"Hmbs"
"Smtnl22"	0	0.298374182150686	0.632	0.297	0	"Blood progenitors 2"	"Smtnl2"
"Nhp2"	0	0.288841002645769	1	0.997	0	"Blood progenitors 2"	"Nhp2"
"Arhgdib1"	0	0.285690788179879	0.348	0.046	0	"Blood progenitors 2"	"Arhgdib"
"Hbb-bt"	0	0.285661897897177	0.221	0.038	0	"Blood progenitors 2"	"Hbb-bt"
"Frrs1"	0	0.278681420813903	0.528	0.216	0	"Blood progenitors 2"	"Frrs1"
"Rpia"	0	0.276867773552415	0.513	0.198	0	"Blood progenitors 2"	"Rpia"
"Nfe2"	0	0.274151701267733	0.383	0.037	0	"Blood progenitors 2"	"Nfe2"
"Homer2"	0	0.273294605187093	0.5	0.18	0	"Blood progenitors 2"	"Homer2"
"Ikzf1"	0	0.272114340092324	0.39	0.026	0	"Blood progenitors 2"	"Ikzf1"
"Skap11"	0	0.263012820669811	0.363	0.028	0	"Blood progenitors 2"	"Skap1"
"Rab27b"	0	0.259959596147342	0.225	0.011	0	"Blood progenitors 2"	"Rab27b"
"Adgrg1"	0	0.258170515010277	0.336	0.045	0	"Blood progenitors 2"	"Adgrg1"
"Hbb-bh1"	0	0.255537926939083	0.891	0.383	0	"Blood progenitors 2"	"Hbb-bh1"
"Dynll2"	2.06390521902344e-306	0.357185084002795	0.954	0.838	4.60436615311938e-302	"Blood progenitors 2"	"Dynll2"
"Ssbp41"	1.78103060884522e-305	0.251972375051149	0.508	0.226	3.97330118527281e-301	"Blood progenitors 2"	"Ssbp4"
"Fn12"	1.0498786229708e-299	0.377721474440187	0.761	0.44	2.34217421998557e-295	"Blood progenitors 2"	"Fn1"
"Myc1"	1.07072940695744e-299	0.336185802286805	0.626	0.333	2.38869023398135e-295	"Blood progenitors 2"	"Myc"
"Rab11a1"	1.85177291475227e-293	0.304340328974357	0.951	0.839	4.13112019552083e-289	"Blood progenitors 2"	"Rab11a"
"Ddah21"	8.26464956109354e-291	0.380133915026799	0.866	0.665	1.84376067058436e-286	"Blood progenitors 2"	"Ddah2"
